school_type,grade_level,subject,gender,score,study_hours,pass_rate
Private,Grade 9,Art,Female,41.28,2.72,0.51
Private,Grade 9,English,Female,88.85,5.65,0.983
Public,Grade 10,Math,Female,63.09,2.37,0.56
Public,Grade 6,Science,Female,47.85,2.3,0.401
Charter,Grade 10,Math,Male,94.26,5.06,1
Charter,Grade 10,Math,Male,67.17,2.44,0.753
Charter,Grade 11,Music,Female,66.33,3.76,0.678
Private,Grade 10,PE,Male,63.9,3.18,0.561
Public,Grade 7,Computer Science,Female,50.54,4.58,0.464
Public,Grade 7,Art,Male,59.07,3.51,0.521
Public,Grade 11,Music,Male,65.03,2.25,0.588
Public,Grade 10,Math,Male,56.56,2.82,0.512
Private,Grade 10,Math,Female,74.77,1.49,0.697
Private,Grade 6,English,Female,77.35,2.46,0.708
Private,Grade 10,English,Female,70.72,7.58,0.651
Charter,Grade 10,PE,Female,60.9,1.31,0.672
Private,Grade 8,Computer Science,Female,73.62,3.9,0.701
Charter,Grade 10,Computer Science,Female,42.36,4.03,0.37
Private,Grade 8,Music,Male,92.6,0.86,0.877
Private,Grade 6,Computer Science,Female,75.56,0.61,0.695
Private,Grade 11,English,Female,69.41,5.09,0.754
Private,Grade 10,History,Male,55.8,2.11,0.611
Private,Grade 9,Music,Male,68.53,3.75,0.701
Private,Grade 7,English,Male,42.97,7.5,0.409
Private,Grade 8,Science,Female,49.21,4.18,0.48
Public,Grade 11,History,Male,71.42,2.49,0.663
Public,Grade 7,Math,Female,75.62,4.32,0.669
Public,Grade 7,English,Female,73.46,6.45,0.737
Public,Grade 8,PE,Male,63.35,4.85,0.657
Private,Grade 7,History,Male,83.49,4.52,0.863
Private,Grade 8,Science,Male,82.84,7.59,0.878
Private,Grade 9,Computer Science,Female,78.21,2.67,0.846
Private,Grade 6,PE,Male,97.6,4.91,0.966
Charter,Grade 6,Computer Science,Female,81.68,3.31,0.852
Charter,Grade 9,English,Female,61.34,3.02,0.567
Public,Grade 6,Art,Male,64.99,5.24,0.685
Private,Grade 9,English,Male,78.8,3.69,0.861
Charter,Grade 9,English,Male,53.33,5.58,0.518
Public,Grade 11,Computer Science,Male,76.44,6.08,0.676
Charter,Grade 9,Computer Science,Male,54.41,7.94,0.504
Private,Grade 9,PE,Female,91.24,7.69,0.817
Charter,Grade 6,English,Female,56.14,2.11,0.543
Public,Grade 6,PE,Male,86.05,7.07,0.893
Public,Grade 9,Science,Female,54.46,3.4,0.503
Public,Grade 8,PE,Female,91.32,4.44,0.995
Charter,Grade 7,Art,Male,89.4,1.71,0.964
Public,Grade 8,PE,Female,45.5,7.8,0.369
Private,Grade 6,Art,Female,41.57,7.84,0.342
Private,Grade 8,History,Male,87.53,7.34,0.917
Charter,Grade 10,English,Male,62.3,4.72,0.664
Charter,Grade 9,Music,Male,69.24,6.09,0.647
Charter,Grade 8,Music,Female,73.75,6.45,0.685
Charter,Grade 8,PE,Female,91.67,2.62,0.881
Charter,Grade 11,English,Female,46.43,4.81,0.48
Public,Grade 6,PE,Female,63.74,1.33,0.576
Private,Grade 9,Music,Female,42.89,1.29,0.346
Charter,Grade 6,History,Male,94.48,1.94,0.857
Public,Grade 9,Science,Female,45.82,1.63,0.494
Public,Grade 8,Music,Female,95.38,5.31,0.858
Public,Grade 6,Math,Female,74.04,5.68,0.663
Private,Grade 11,Art,Female,95.45,3.36,1
Charter,Grade 10,Computer Science,Male,64.81,6.59,0.593
Private,Grade 10,Science,Male,63.65,7.99,0.684
Public,Grade 7,Science,Female,47.04,7.02,0.435
Public,Grade 11,PE,Female,63.43,7.52,0.604
Private,Grade 10,Computer Science,Female,84.04,2.26,0.933
Charter,Grade 8,Art,Female,83.03,7.65,0.876
Private,Grade 11,Music,Female,98.35,7.29,1
Private,Grade 8,Computer Science,Female,62.03,5.55,0.695
Private,Grade 8,Art,Male,79.48,2.25,0.729
Private,Grade 9,English,Female,95.13,2.98,1
Charter,Grade 11,Science,Male,51.69,4.39,0.544
Private,Grade 9,PE,Female,81.33,2.01,0.761
Charter,Grade 7,English,Female,88.8,4.13,0.816
Charter,Grade 11,History,Male,48.42,7.78,0.448
Charter,Grade 11,Computer Science,Male,44.34,6.53,0.4
Private,Grade 6,English,Male,65.41,1.23,0.746
Private,Grade 8,PE,Female,81.65,0.54,0.789
Public,Grade 6,Math,Male,40.03,6.4,0.343
Private,Grade 11,English,Male,67.23,7.09,0.675
Public,Grade 10,Music,Male,64.62,1.91,0.628
Private,Grade 10,English,Male,85.09,7.67,0.874
Public,Grade 10,Art,Female,67.69,6.43,0.764
Private,Grade 6,English,Male,82.6,1.03,0.911
Private,Grade 7,Math,Male,87.24,5.77,0.881
Charter,Grade 11,Science,Male,59.26,2.61,0.67
Public,Grade 10,Math,Male,75.46,2.41,0.662
Public,Grade 10,Science,Female,50.27,4.92,0.589
Public,Grade 7,PE,Male,99.51,5.88,1
Public,Grade 6,Music,Female,62.47,3.16,0.552
Public,Grade 9,Art,Female,81.66,3.38,0.727
Private,Grade 8,Art,Female,41.14,7.41,0.321
Public,Grade 9,Math,Male,56.14,2.13,0.478
Private,Grade 9,English,Male,66.55,1.94,0.713
Private,Grade 7,PE,Male,40.7,7.61,0.487
Private,Grade 11,English,Male,53.12,2.42,0.448
Private,Grade 10,English,Female,43.15,6.34,0.428
Private,Grade 11,English,Male,53.83,3.39,0.503
Public,Grade 11,English,Female,85.08,7.14,0.828
Public,Grade 9,Science,Female,53.36,4.2,0.527
Charter,Grade 7,Math,Female,79.12,1.85,0.825
Charter,Grade 10,Computer Science,Male,62.66,5.72,0.683
Private,Grade 11,Math,Male,74.87,6.37,0.732
Private,Grade 11,Science,Female,53.15,3.73,0.474
Charter,Grade 11,History,Female,54.74,7.96,0.451
Private,Grade 9,History,Female,54.14,3.05,0.507
Public,Grade 6,Computer Science,Female,57.91,7.85,0.673
Charter,Grade 8,Art,Female,47.29,6.82,0.409
Public,Grade 8,Computer Science,Female,56.61,5.68,0.622
Public,Grade 10,Music,Female,57.07,4.48,0.543
Private,Grade 8,History,Male,47.93,7.56,0.515
Private,Grade 11,Science,Female,40.92,4.17,0.386
Public,Grade 9,Music,Female,75.84,6.59,0.755
Private,Grade 10,PE,Male,88.51,3.94,0.857
Public,Grade 10,PE,Male,88,6.92,0.826
Private,Grade 10,Science,Female,85.1,5.65,0.797
Public,Grade 9,Math,Male,74.3,7.51,0.764
Public,Grade 10,Computer Science,Male,56.04,3.04,0.591
Public,Grade 11,Art,Female,50.64,5.47,0.46
Public,Grade 10,Science,Female,67.28,1.55,0.651
Charter,Grade 10,Science,Female,68.83,1.57,0.741
Private,Grade 10,Math,Male,80.96,6.1,0.84
Charter,Grade 8,Computer Science,Female,61.2,6.89,0.681
Charter,Grade 9,Art,Male,77.3,6.53,0.798
Private,Grade 9,PE,Male,88.27,5.54,0.808
Charter,Grade 10,PE,Male,74.16,2.3,0.692
Public,Grade 11,Math,Female,92.23,3.86,0.914
Public,Grade 6,Science,Female,95.18,3.83,1
Charter,Grade 10,English,Female,49.69,4.37,0.431
Private,Grade 10,Music,Male,85.68,2.8,0.916
Charter,Grade 11,PE,Male,74.79,1.24,0.747
Private,Grade 8,PE,Female,85.11,7.93,0.899
Charter,Grade 10,Math,Female,73.69,4.91,0.802
Charter,Grade 8,Science,Male,54.4,6.23,0.524
Private,Grade 10,Computer Science,Female,41.06,5.26,0.415
Public,Grade 10,Art,Female,77.66,5.46,0.772
Public,Grade 9,English,Female,40.13,4.16,0.392
Private,Grade 11,History,Male,50.6,1.31,0.586
Public,Grade 10,Science,Female,43.76,4.17,0.418
Private,Grade 9,Math,Female,75.42,0.67,0.845
Public,Grade 6,History,Female,48.78,3.57,0.497
Private,Grade 7,PE,Female,99.97,4.81,0.998
Charter,Grade 7,Computer Science,Male,74.77,1.57,0.81
Public,Grade 10,Science,Male,61.67,5.14,0.636
Private,Grade 10,English,Female,51.76,6.02,0.471
Charter,Grade 6,PE,Female,86.99,3.65,0.883
Private,Grade 10,History,Male,66.68,3.29,0.707
Private,Grade 7,PE,Male,76.86,2.8,0.671
Charter,Grade 7,Computer Science,Female,71.51,4.79,0.752
Public,Grade 7,Science,Female,84.33,1.31,0.797
Private,Grade 10,Science,Female,51.64,4.36,0.561
Charter,Grade 9,Math,Male,73.39,3.78,0.699
Public,Grade 11,Computer Science,Male,49.46,3.49,0.418
Private,Grade 8,History,Male,87.7,7.06,0.819
Private,Grade 11,Computer Science,Male,81.18,6.36,0.894
Charter,Grade 6,History,Male,88.14,2.64,0.935
Public,Grade 10,Art,Female,48.53,0.52,0.428
Private,Grade 8,Art,Female,51.37,7.13,0.6
Public,Grade 7,Computer Science,Female,44.1,2.66,0.352
Public,Grade 8,Music,Male,50.51,6.41,0.493
Public,Grade 6,Computer Science,Male,75.44,7.8,0.853
Public,Grade 11,History,Female,49.28,3.46,0.5
Public,Grade 10,Art,Female,56.94,1.87,0.65
Public,Grade 9,History,Female,47.79,5.56,0.513
Private,Grade 7,PE,Male,68.87,0.93,0.698
Public,Grade 7,Music,Female,91.34,7.55,0.843
Private,Grade 9,Science,Female,58.91,1.35,0.629
Private,Grade 11,English,Female,98.78,1.53,0.892
Charter,Grade 8,Science,Male,71.73,7.42,0.784
Private,Grade 6,Math,Male,65.29,5.32,0.63
Public,Grade 8,Computer Science,Female,73.13,3.16,0.727
Private,Grade 10,PE,Male,74.97,3.93,0.727
Charter,Grade 10,History,Male,66.17,7.49,0.633
Charter,Grade 7,Computer Science,Female,44.87,6.43,0.436
Public,Grade 11,Art,Female,69.41,0.65,0.759
Charter,Grade 7,English,Male,54.66,1.31,0.454
Charter,Grade 9,Music,Male,41.57,2.54,0.367
Private,Grade 10,Computer Science,Female,83.23,1.88,0.809
Charter,Grade 6,Math,Female,91.57,2.7,0.879
Charter,Grade 8,Science,Female,55.7,6.97,0.492
Private,Grade 11,English,Male,65.28,6.63,0.63
Private,Grade 9,English,Female,71.21,3.68,0.766
Public,Grade 8,Music,Male,42.7,1.36,0.462
Public,Grade 10,PE,Male,42.18,3.31,0.322
Private,Grade 11,PE,Female,91.77,3.85,0.94
Private,Grade 9,Science,Male,96.59,1.52,0.895
Public,Grade 10,History,Male,68.78,5.29,0.692
Charter,Grade 11,Science,Male,77.64,6.92,0.858
Charter,Grade 11,Art,Male,48.95,0.67,0.56
Charter,Grade 7,History,Male,78.31,1.81,0.812
Public,Grade 10,Art,Female,80.39,3.47,0.715
Charter,Grade 10,History,Female,45.35,3.55,0.476
Charter,Grade 8,Art,Male,85.56,2.36,0.925
Private,Grade 8,Math,Female,44.55,1.28,0.542
Public,Grade 11,Science,Male,95.65,0.93,1
Charter,Grade 6,Computer Science,Male,42.5,4.35,0.395
Private,Grade 6,History,Female,62.09,5.99,0.531
Public,Grade 11,History,Female,52,2.09,0.576
Private,Grade 6,PE,Male,78.83,1.37,0.847
Private,Grade 10,Math,Male,63.36,7.98,0.538
Charter,Grade 9,History,Male,85.26,5.45,0.772
Private,Grade 11,Computer Science,Male,76.72,1.68,0.781
Charter,Grade 8,English,Female,52.33,4.59,0.547
Private,Grade 9,Art,Male,87.27,5.45,0.827
Public,Grade 10,Science,Male,59.34,4.65,0.548
Private,Grade 8,Math,Female,65.31,0.96,0.654
Public,Grade 9,Art,Female,69.99,2.09,0.773
Charter,Grade 8,Science,Male,98.37,0.54,0.956
Charter,Grade 6,Science,Female,98.41,0.82,0.95
Public,Grade 10,Computer Science,Female,70.94,4.33,0.661
Private,Grade 7,English,Male,91.4,4.33,0.842
Public,Grade 10,Art,Female,62.83,3.14,0.531
Public,Grade 8,Music,Male,75.32,0.77,0.717
Charter,Grade 9,Music,Male,62.94,6.05,0.558
Charter,Grade 9,Art,Male,55.97,6.97,0.595
Charter,Grade 6,Math,Male,50.95,0.88,0.551
Charter,Grade 10,PE,Female,85.73,7.19,0.885
Private,Grade 11,English,Male,58.96,7.52,0.681
Private,Grade 6,History,Female,97.6,3.2,1
Charter,Grade 6,PE,Female,79.23,6.87,0.865
Public,Grade 6,History,Male,99.13,5.56,0.989
Public,Grade 6,History,Female,93.45,1.52,0.875
Public,Grade 6,Music,Female,75.15,0.53,0.81
Public,Grade 9,History,Female,94.74,2.29,1
Charter,Grade 8,History,Female,98.56,7.73,0.901
Charter,Grade 7,PE,Female,56.42,6.81,0.649
Public,Grade 6,Music,Female,72,0.87,0.683
Public,Grade 11,History,Male,95.78,7.44,0.958
Public,Grade 8,PE,Male,91.26,4.37,0.953
Private,Grade 8,Science,Female,65.53,3.27,0.62
Charter,Grade 10,Science,Male,47.3,6.74,0.424
Charter,Grade 9,PE,Female,81.7,6.62,0.81
Public,Grade 10,Art,Female,40.18,3.48,0.387
Charter,Grade 10,Math,Female,88.88,1.64,0.793
Charter,Grade 7,Science,Female,93.01,6.3,0.971
Public,Grade 10,Music,Male,56.94,6.45,0.606
Private,Grade 7,English,Male,66.86,2.18,0.72
Private,Grade 8,English,Female,82.59,1.11,0.888
Charter,Grade 11,English,Male,44.91,4.67,0.506
Public,Grade 8,Art,Female,86.49,7.05,0.834
Charter,Grade 8,Computer Science,Female,41.51,5.55,0.5
Private,Grade 7,History,Female,58.82,3.25,0.674
Public,Grade 8,Science,Female,75.52,1.53,0.823
Private,Grade 7,English,Male,57.7,6.6,0.673
Public,Grade 8,History,Female,93.85,7.33,1
Private,Grade 8,Math,Male,67.75,7.59,0.701
Public,Grade 10,Science,Male,68.66,3.77,0.682
Charter,Grade 8,Science,Female,69.08,6.99,0.672
Public,Grade 7,Art,Male,94.93,4.16,0.888
Charter,Grade 10,History,Female,73.29,7.88,0.659
Private,Grade 10,Computer Science,Female,51.08,6.53,0.577
Private,Grade 10,Science,Male,62.97,0.77,0.604
Public,Grade 6,English,Male,87.95,3.33,0.816
Private,Grade 8,PE,Female,69.61,6.47,0.706
Charter,Grade 10,English,Female,58.38,5.79,0.564
Private,Grade 6,Math,Male,65.46,2.96,0.662
Private,Grade 11,Math,Female,66.66,6.84,0.748
Public,Grade 9,Art,Female,90.88,5.9,0.941
Public,Grade 10,Music,Male,98.94,6.04,0.991
Public,Grade 9,Computer Science,Female,71.96,2.76,0.805
Private,Grade 11,English,Female,82.8,5.71,0.817
Charter,Grade 11,Science,Male,76.26,4.59,0.793
Private,Grade 10,Art,Female,54.74,6.33,0.476
Public,Grade 7,History,Male,89.22,3.42,0.889
Public,Grade 10,PE,Female,86.08,7.98,0.933
Charter,Grade 8,PE,Male,88.35,1.04,0.804
Private,Grade 8,PE,Male,53.44,4.17,0.608
Public,Grade 9,History,Female,81.92,1.16,0.872
Private,Grade 6,History,Male,99.17,2.88,1
Public,Grade 8,Computer Science,Female,69.6,4.25,0.773
Public,Grade 7,Math,Male,60.98,4.27,0.62
Charter,Grade 8,Science,Male,83.94,5.94,0.749
Public,Grade 8,PE,Male,52.88,3.33,0.508
Public,Grade 8,Computer Science,Female,59.35,1.6,0.517
Public,Grade 8,Math,Female,41.81,3.39,0.461
Public,Grade 10,Computer Science,Male,69.93,3.89,0.647
Charter,Grade 8,PE,Male,77.6,1.05,0.698
Private,Grade 10,Math,Male,66.52,1.1,0.691
Public,Grade 9,English,Female,94.27,1.65,0.847
Charter,Grade 7,History,Female,70.05,5.35,0.63
Public,Grade 7,Computer Science,Male,60.14,0.68,0.524
Public,Grade 10,Art,Female,86.93,6.48,0.81
Private,Grade 9,Math,Male,70.47,4.69,0.778
Private,Grade 8,PE,Female,82.46,4.72,0.777
Charter,Grade 9,History,Male,86.02,5.99,0.769
Public,Grade 9,History,Female,44.59,0.72,0.406
Private,Grade 7,Music,Male,91.33,6.3,0.866
Charter,Grade 7,History,Male,58.1,4.98,0.672
Charter,Grade 9,History,Female,97.13,3.69,0.99
Charter,Grade 11,English,Male,57.86,0.74,0.585
Private,Grade 7,Math,Female,42.11,6.66,0.396
Private,Grade 10,History,Male,43.13,5.8,0.512
Private,Grade 11,Math,Female,76.28,0.91,0.711
Private,Grade 6,Art,Female,55.79,4.56,0.567
Private,Grade 7,Music,Female,91.81,1.58,0.892
Charter,Grade 8,Music,Female,84.51,7.8,0.897
Charter,Grade 11,Music,Female,82.2,2.85,0.906
Private,Grade 10,Computer Science,Female,57.73,5.85,0.517
Private,Grade 6,History,Male,58.36,6.57,0.531
Private,Grade 7,Math,Female,44.58,7.65,0.412
Private,Grade 6,History,Male,93.72,4.86,0.911
Public,Grade 8,Computer Science,Female,59.21,4.45,0.539
Charter,Grade 8,History,Female,98.69,6.2,1
Charter,Grade 6,Computer Science,Male,93.13,4.67,0.924
Private,Grade 8,Math,Female,53.34,5.75,0.6
Charter,Grade 6,Art,Male,78.5,1.3,0.709
Charter,Grade 9,Art,Male,89.09,1.31,0.924
Private,Grade 9,Art,Female,62.03,1.36,0.612
Charter,Grade 9,English,Female,75.52,6.28,0.779
Public,Grade 6,History,Male,47.24,7.03,0.489
Public,Grade 11,Art,Female,47.01,4.08,0.535
Charter,Grade 8,PE,Male,51.06,5.95,0.447
Public,Grade 6,Music,Female,47.59,2.01,0.485
Private,Grade 7,Science,Female,87.07,7.47,0.931
Charter,Grade 9,Science,Male,73.79,3.08,0.695
Public,Grade 9,Science,Female,48.43,3.68,0.404
Public,Grade 8,Math,Female,55.15,6.28,0.62
Private,Grade 11,English,Male,77.03,7.71,0.813
Private,Grade 10,Math,Female,89.55,6.57,0.941
Private,Grade 6,English,Male,90.77,4.51,0.81
Private,Grade 11,English,Male,57.1,6.87,0.471
Charter,Grade 11,Math,Male,84.36,7.07,0.764
Charter,Grade 11,Math,Male,96.66,7.11,0.953
Private,Grade 8,History,Male,79.72,5.64,0.745
Private,Grade 6,History,Male,69.36,3.29,0.656
Charter,Grade 8,Art,Male,64.85,2.25,0.581
Private,Grade 9,English,Male,93.51,1.68,0.993
Private,Grade 8,Music,Male,67.79,2.28,0.579
Charter,Grade 9,Art,Male,84.1,5.16,0.89
Public,Grade 8,Music,Female,78.36,3.65,0.843
Private,Grade 9,PE,Female,79,7.05,0.826
Public,Grade 6,Science,Female,79.51,0.66,0.716
Public,Grade 8,Music,Female,88.43,5.44,0.957
Public,Grade 11,Art,Female,59.5,6.38,0.655
Public,Grade 8,Art,Male,81.06,4.45,0.892
Charter,Grade 6,History,Male,70.35,5.53,0.697
Private,Grade 7,History,Female,52.84,6.55,0.555
Public,Grade 7,Music,Male,68.78,0.85,0.734
Public,Grade 7,Math,Female,51.28,6.87,0.597
Public,Grade 10,English,Female,59.29,5.24,0.665
Charter,Grade 7,Music,Female,89.42,1.45,0.822
Public,Grade 11,History,Male,80.73,7.9,0.722
Private,Grade 7,PE,Male,77.79,7.07,0.789
Public,Grade 8,History,Female,43.21,7.13,0.495
Charter,Grade 10,History,Male,68.98,1.54,0.761
Charter,Grade 6,English,Male,86.23,3.46,0.861
Charter,Grade 11,Art,Male,76.33,1.32,0.812
Private,Grade 11,Math,Female,80.95,6.02,0.729
Public,Grade 7,Science,Male,62.41,5.52,0.667
Private,Grade 10,Science,Male,63.56,4.65,0.554
Public,Grade 6,Science,Male,69.58,7.26,0.635
Private,Grade 8,PE,Female,59.66,0.64,0.617
Public,Grade 8,Art,Male,77.63,6.05,0.854
Private,Grade 10,Art,Male,88.23,1.42,0.878
Public,Grade 6,PE,Female,49.25,5.12,0.469
Charter,Grade 6,History,Male,52.31,3.6,0.553
Charter,Grade 6,Computer Science,Male,99.34,4.53,1
Charter,Grade 11,Math,Female,74.88,2.81,0.754
Public,Grade 9,Math,Female,56.75,5.92,0.574
Public,Grade 11,Art,Female,97.15,4.05,1
Private,Grade 11,PE,Female,94.57,0.62,0.937
Private,Grade 10,PE,Female,67.48,2.14,0.601
Private,Grade 6,Science,Male,93.74,6.84,0.942
Charter,Grade 7,Science,Female,97.86,4.25,0.962
Charter,Grade 11,Science,Male,99.18,7.87,1
Private,Grade 10,Music,Male,64.72,1.35,0.644
Public,Grade 6,Computer Science,Female,82.51,6.35,0.88
Charter,Grade 7,English,Male,66.74,2.84,0.633
Public,Grade 7,English,Male,86.17,7.11,0.954
Charter,Grade 11,Music,Male,64.76,2.14,0.563
Charter,Grade 7,PE,Female,57.84,1.8,0.637
Charter,Grade 11,PE,Female,72.83,6.8,0.687
Charter,Grade 9,PE,Male,64.76,3.74,0.594
Private,Grade 9,Science,Female,98.43,3.81,0.904
Charter,Grade 9,PE,Male,69.23,1.59,0.637
Private,Grade 7,Music,Female,95.62,3.13,0.907
Private,Grade 9,Math,Male,46.48,3.41,0.518
Public,Grade 8,Math,Female,49.43,0.73,0.469
Public,Grade 11,Music,Male,52.78,2.01,0.472
Private,Grade 8,Science,Male,87.01,7.01,0.874
Public,Grade 11,Math,Male,72.27,3.43,0.727
Charter,Grade 9,English,Female,51.6,1.66,0.434
Private,Grade 11,Computer Science,Male,89.07,7.62,0.962
Public,Grade 6,Art,Female,64.45,6.28,0.579
Private,Grade 7,Science,Female,73.77,4.45,0.788
Private,Grade 11,PE,Female,50.18,3.61,0.563
Private,Grade 10,Computer Science,Female,47.26,7.13,0.457
Private,Grade 8,Math,Female,90.31,2.12,0.924
Private,Grade 10,English,Male,56.31,5.76,0.541
Private,Grade 10,Music,Male,54.52,2.05,0.515
Private,Grade 11,PE,Female,50.72,1.96,0.41
Public,Grade 8,Science,Female,46.49,6.56,0.38
Private,Grade 6,Computer Science,Male,43.2,3.62,0.491
Private,Grade 9,Art,Male,92.38,6.75,0.865
Private,Grade 10,PE,Female,41.46,2.34,0.399
Charter,Grade 6,Science,Female,99.66,2.44,0.944
Private,Grade 11,Science,Female,82.33,4.9,0.91
Private,Grade 11,Music,Male,56.64,6.16,0.656
Private,Grade 8,Math,Male,88.04,3.64,0.899
Private,Grade 8,Music,Female,88.05,6.84,0.919
Public,Grade 10,Art,Male,62.7,6.52,0.68
Private,Grade 8,Art,Male,84.4,6.46,0.896
Charter,Grade 7,Art,Female,56.24,3.49,0.619
Charter,Grade 6,History,Male,95.53,2.87,0.872
Private,Grade 7,History,Female,94.89,5.87,1
Public,Grade 10,Math,Female,58.99,5.36,0.647
Private,Grade 8,English,Female,82.44,1.15,0.905
Charter,Grade 10,History,Male,63.37,1.46,0.579
Private,Grade 9,English,Female,92.75,2.58,0.915
Public,Grade 8,PE,Male,59.18,3.81,0.502
Private,Grade 8,History,Male,62.98,7.46,0.548
Charter,Grade 6,PE,Male,73.74,7.85,0.669
Public,Grade 6,Art,Male,69.95,5.25,0.745
Charter,Grade 8,Art,Female,84.52,1.76,0.912
Charter,Grade 8,PE,Male,70.71,6.82,0.797
Charter,Grade 9,English,Female,67.57,6.42,0.589
Charter,Grade 10,Computer Science,Male,99.51,7.61,1
Charter,Grade 7,English,Male,56.19,6.12,0.523
Private,Grade 11,History,Female,78.85,4.82,0.74
Charter,Grade 8,Math,Female,55.86,3.01,0.509
Public,Grade 7,PE,Female,76.51,6.11,0.674
Public,Grade 9,History,Male,70.36,2.26,0.783
Charter,Grade 10,Science,Male,62.61,6.77,0.703
Public,Grade 8,History,Female,62.71,7.7,0.636
Charter,Grade 10,English,Female,59.46,3.73,0.632
Public,Grade 9,Math,Female,79.56,0.98,0.711
Public,Grade 10,Computer Science,Female,87.77,3.95,0.879
Charter,Grade 7,English,Female,64.27,6.92,0.592
Charter,Grade 6,English,Female,40.67,1.35,0.384
Private,Grade 9,Art,Female,57.9,1.33,0.571
Charter,Grade 6,Computer Science,Male,81.85,3,0.748
Private,Grade 8,Music,Female,95.83,2.88,0.922
Private,Grade 7,Math,Male,69.07,5.85,0.648
Private,Grade 11,Science,Female,90.82,2.42,0.939
Public,Grade 8,Math,Male,43.78,6.1,0.433
Charter,Grade 9,Music,Male,72.61,6.11,0.717
Charter,Grade 9,Computer Science,Male,52.59,2.22,0.462
Charter,Grade 11,Math,Male,97.27,5.12,0.928
Charter,Grade 11,Art,Female,40.38,3.35,0.391
Charter,Grade 9,PE,Female,44.56,7.41,0.513
Charter,Grade 10,English,Female,46.18,0.68,0.515
Private,Grade 6,Computer Science,Female,84.76,4.35,0.852
Public,Grade 7,Music,Female,42.36,5.7,0.412
Private,Grade 7,Math,Female,43.24,2.24,0.355
Private,Grade 11,Science,Female,59.81,5.45,0.686
Charter,Grade 7,Music,Female,68.05,2.45,0.648
Public,Grade 8,Art,Female,44.09,2.53,0.485
Private,Grade 8,PE,Male,60.73,6.63,0.618
Public,Grade 11,English,Female,77.64,5.83,0.764
Private,Grade 7,PE,Female,78.29,1.33,0.819
Charter,Grade 7,Music,Female,52.94,4.26,0.521
Private,Grade 11,English,Male,90.15,0.78,0.97
Private,Grade 10,Math,Female,47.88,5.47,0.574
Public,Grade 9,Computer Science,Female,78.21,7.05,0.765
Charter,Grade 6,Music,Male,73.53,6.93,0.72
Public,Grade 11,PE,Male,68.64,2.08,0.662
Private,Grade 6,English,Male,66.08,4.55,0.659
Charter,Grade 6,PE,Male,95.07,1.36,0.874
Private,Grade 8,Math,Female,78.88,6.3,0.746
Charter,Grade 6,PE,Female,57.54,5.99,0.641
Charter,Grade 10,Science,Male,77.07,7.1,0.713
Private,Grade 7,Music,Male,59.54,6.99,0.505
Charter,Grade 11,English,Male,92.91,4.89,0.916
Private,Grade 11,History,Female,79.36,2.4,0.851
Charter,Grade 6,Art,Male,91.12,4.03,0.967
Private,Grade 7,Computer Science,Female,43.44,0.86,0.368
Charter,Grade 11,Art,Male,96.44,6.96,0.883
Public,Grade 6,Art,Female,66.85,2.2,0.714
Private,Grade 11,Science,Female,66.01,6.8,0.684
Public,Grade 7,Math,Female,42.61,6.79,0.405
